origin,sample_idx,step,target_idx,n_cells,n_active,active_fraction,mean_magnitude_on_active,persistence,neighbour_pairs_per_active
335,0,1,0,32400,42,0.0012962962962962963,40.380958557128906,-1.0,0.3333333333333333
335,0,1,1,32400,10,0.00030864197530864197,14.100001335144043,-1.0,0.1
335,0,1,2,32400,10,0.00030864197530864197,14.199999809265137,-1.0,0.1
335,0,2,0,32400,28,0.0008641975308641976,19.85714340209961,0.2619047619047619,0.25
335,0,2,1,32400,4,0.0001234567901234568,21.5,0.1,0.0
335,0,2,2,32400,6,0.00018518518518518518,17.666667938232422,0.1,0.0
335,0,3,0,32400,29,0.0008950617283950618,17.068967819213867,0.6428571428571429,0.4482758620689655
335,0,3,1,32400,4,0.0001234567901234568,10.0,0.0,0.0
335,0,3,2,32400,6,0.00018518518518518518,9.333333969116211,0.3333333333333333,0.16666666666666666
335,0,4,0,32400,21,0.0006481481481481481,20.0,0.41379310344827586,0.5238095238095238
335,0,4,1,32400,4,0.0001234567901234568,5.0,0.0,0.0
335,0,4,2,32400,2,6.17283950617284e-05,5.0,0.0,0.0
335,0,5,0,32400,10,0.00030864197530864197,15.5,0.2857142857142857,0.3
335,0,5,1,32400,4,0.0001234567901234568,11.749999046325684,0.0,0.0
335,0,5,2,32400,4,0.0001234567901234568,7.25,0.0,0.0
335,0,6,0,32400,12,0.00037037037037037035,10.416667938232422,0.4,0.3333333333333333
335,0,6,1,32400,4,0.0001234567901234568,14.000000953674316,0.5,0.25
335,0,6,2,32400,3,9.259259259259259e-05,10.0,0.25,0.0
335,0,7,0,32400,11,0.00033950617283950616,10.363637924194336,0.4166666666666667,0.36363636363636365
335,0,7,1,32400,1,3.08641975308642e-05,2.0,0.25,0.0
335,0,7,2,32400,3,9.259259259259259e-05,5.6666669845581055,0.3333333333333333,0.0
335,0,8,0,32400,6,0.00018518518518518518,21.5,0.45454545454545453,0.3333333333333333
335,0,8,1,32400,1,3.08641975308642e-05,8.0,0.0,0.0
335,0,8,2,32400,3,9.259259259259259e-05,7.6666669845581055,0.3333333333333333,0.3333333333333333
335,0,9,0,32400,11,0.00033950617283950616,8.181818008422852,0.8333333333333334,0.2727272727272727
335,0,9,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,9,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,10,0,32400,8,0.0002469135802469136,38.625,0.45454545454545453,0.875
335,0,10,1,32400,1,3.08641975308642e-05,11.999999046325684,-1.0,0.0
335,0,10,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,11,0,32400,5,0.00015432098765432098,10.000000953674316,0.5,0.2
335,0,11,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,11,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,12,0,32400,3,9.259259259259259e-05,10.666666984558105,0.4,0.3333333333333333
335,0,12,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,12,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,13,0,32400,1,3.08641975308642e-05,17.0,0.0,0.0
335,0,13,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,13,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,14,0,32400,2,6.17283950617284e-05,16.0,0.0,0.5
335,0,14,1,32400,1,3.08641975308642e-05,2.0,-1.0,0.0
335,0,14,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,15,0,32400,1,3.08641975308642e-05,15.0,0.5,0.0
335,0,15,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,15,2,32400,1,3.08641975308642e-05,1.0,-1.0,0.0
335,0,16,0,32400,1,3.08641975308642e-05,5.0,0.0,0.0
335,0,16,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,17,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,17,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,0,32400,1,3.08641975308642e-05,29.000001907348633,-1.0,0.0
335,0,18,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,19,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,19,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,19,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,20,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,20,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,20,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,21,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,21,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,21,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,30,0,32400,0,0.0,-1.0,-1.0,-1.0
